"X_location","Y_location","Z_location","velocity","beam_number"
81467.562500,24781.376953,1571.940918,1988.984229,1
81464.593750,24781.582034,1579.628179,1996.661133,1
81466.640625,24781.789062,1587.345947,2000.710449,1
81468.710938,24787.900000,1590.996680,2010.735229,1
81479.804688,24787.212894,1607.880374,2020.982153,1
81477.921875,24787.427739,1619.698730,2030.933350,1
81470.962500,24787.644534,1618.554077,2046.461792,1
81477.226562,24787.863284,1626.446289,2057.495850,1
81479.421875,24783.985938,1634.379150,2079.301270,1
81481.648438,24783.310547,1647.353399,2087.901224,1
81483.898438,24783.539062,1659.371216,2096.353569,1
81486.387500,24783.769534,1658.437139,2109.932617,1
81488.507812,24784.903906,1666.550659,2124.498779,1
81499.867188,24784.242188,1674.718628,2147.257329,1
81493.265625,24784.484375,1687.942139,2158.967383,1
81490.703125,24784.730469,1691.225586,2178.321777,1
81498.387500,24784.982422,1699.575928,2197.635498,1
81509.718750,24780.238284,1707.993042,2218.725098,1
81503.304688,24780.500000,1716.488284,2244.502444,1
81500.953125,24780.767578,1720.961646,2267.327393,1
81508.664062,24786.941016,1733.721802,2296.603027,1
81511.445312,24786.322266,1747.473389,2323.454346,1
81514.296875,24786.609375,1751.321533,2356.435547,1
81517.234375,24786.904297,1769.277832,2389.355273,1
81529.257812,24787.208989,1769.342285,2423.377686,1
81523.367188,24787.521489,1778.521854,2459.314019,1
81526.570312,24787.843750,1787.817264,2493.697510,1
81529.867188,24788.373828,1797.220947,2524.735596,1
81533.250000,24788.513672,1806.733765,2558.373535,1
81536.726562,24788.861328,1816.340210,2581.893555,1
81549.281250,24789.216797,1826.937842,2619.865239,1
81543.906250,24789.580078,1830.804688,2623.434570,1
81547.585938,24789.949219,1840.633057,2643.773193,1
81551.312500,24799.322266,1850.498535,2644.278569,1
81550.962500,24799.697266,1860.388799,2653.344727,1
81558.828125,24791.974219,1870.282715,2644.257080,1
81567.593750,24791.449219,1880.367480,2647.499512,1
81566.343750,24791.824219,1890.929663,2628.501465,1
81579.970312,24797.395312,1904.859253,2619.332812,1
81573.765625,24797.564453,1914.651733,2604.835938,1
81577.429688,24797.929688,1924.402222,2597.314990,1
81581.962500,24793.291016,1934.313037,2589.852295,1
81584.664062,24793.650394,1943.784912,2568.714355,1
81588.234375,24794.905859,1953.424072,2567.595215,1
81591.789062,24794.359375,1963.937234,2554.232910,1
81590.320312,24794.710938,1977.631348,2554.364307,1
81598.851562,24790.962500,1987.218750,2551.697266,1
81607.375000,24790.412109,1991.805059,2558.234863,1
81600.914062,24790.763672,2001.408084,2563.253179,1
81609.468750,24796.317188,2011.930889,2576.300537,1
81613.962500,24796.472656,2029.694580,2589.313232,1
81616.687500,24796.832034,2039.400029,2608.756348,1
81629.367188,24797.397266,2049.369556,2629.717773,1
81624.309375,24797.568359,2059.902930,2650.926367,1
81627.921875,24797.945312,2059.919922,2687.798589,1
81631.812500,24798.330078,2069.920166,2711.358398,1
81630.789062,24798.722656,2089.917578,2740.817874,1
81639.859375,24799.325000,2099.210938,2777.278809,1
81644.931250,24799.537109,2109.505127,2811.965918,1
81648.304688,24799.958989,2119.900146,2847.567874,1
81657.671875,24809.390625,2121.390137,2874.419189,1
81657.340625,24809.832034,2131.973389,2901.338135,1
81661.695312,24801.281250,2147.637695,2928.881592,1
81666.343750,24801.740239,2153.377444,2947.649170,1
81671.954688,24807.205078,2164.377739,2968.670898,1
81670.835938,24807.675784,2170.926855,2976.583989,1
81689.656250,24803.350394,2180.911133,2989.387988,1
81680.507812,24803.628906,2196.811035,2984.809326,1
81699.367188,24804.307422,2207.717285,2987.323730,1
81690.218750,24804.585938,2218.603516,2971.333252,1
81709.946875,24800.960547,2229.466069,2963.211182,1
81704.835938,24800.531250,2249.279785,2949.439944,1
81709.578125,24800.998047,2251.945166,2921.418457,1
81714.250000,24806.457034,2261.742920,2898.259033,1
81718.859375,24806.910156,2277.371582,2871.488284,1
81723.390625,24807.355469,2287.919189,2840.483643,1
81727.843750,24807.792969,2293.381592,2817.564944,1
81737.395312,24808.220703,2303.749268,2787.308398,1
81736.453125,24808.638672,2314.910498,2741.917339,1
81749.609375,24809.946875,2324.348682,2703.276123,1
81744.671875,24809.445312,2334.359429,2667.918555,1
81748.640625,24809.833989,2344.935645,2627.280273,1
81757.515625,24819.212894,2353.781250,2584.537842,1
81756.296875,24819.582034,2363.399658,2546.656006,1
81759.992188,24819.943359,2377.894287,2517.969829,1
81763.609375,24811.296875,2387.269534,2476.795166,1
81767.340625,24811.642578,2391.530029,2446.448975,1
81779.601562,24811.980469,2409.685303,2410.261475,1
81773.992188,24817.312500,2409.737793,2399.311089,1
81777.328125,24817.638672,2418.705078,2367.681644,1
81789.617188,24817.958989,2427.585693,2343.749268,1
81783.867188,24813.275394,2436.405762,2333.488770,1
81787.985938,24813.589849,2440.366992,2316.399463,1
81799.281250,24813.900394,2453.887695,2317.602295,1
81793.468750,24814.210938,2467.577393,2303.347464,1
81796.640625,24814.521489,2471.245850,2300.582275,1
81799.820312,24814.832034,2479.914062,2300.654297,1
81803.907812,24810.342578,2488.581543,2309.747559,1
81806.210938,24810.455078,2497.275394,2324.388232,1
81809.445312,24810.771489,2500.994385,2331.350830,1
81817.710938,24816.989849,2514.752686,2348.694092,1
81816.907812,24816.412109,2523.555908,2361.751709,1
81819.343750,24816.738284,2537.408694,2389.469238,1
81827.734375,24817.968359,2541.318115,2397.951416,1
81826.371875,24817.404297,2559.284429,2416.912598,1
81829.656250,24817.746099,2559.311768,2436.261719,1
81833.395312,24818.991797,2568.399658,2450.287359,1
81836.789062,24818.443359,2577.547852,2474.213867,1
81849.437500,24818.800784,2586.756592,2493.311279,1
81844.340625,24819.364062,2596.921973,2509.984619,1
81847.898438,24819.531250,2600.343506,2528.325977,1
81851.710938,24819.904297,2614.714849,2541.320068,1
81850.562500,24829.281250,2624.332812,2556.833496,1
81859.460938,24829.662109,2633.592044,2566.875732,1
81863.398438,24821.946875,2643.986919,2578.951909,1
81867.367188,24821.435547,2657.613525,2580.992920,1
81871.367188,24821.826172,2667.364795,2594.484863,1
81870.390625,24827.218750,2671.737793,2598.337695,1
81879.429688,24827.613284,2681.322998,2607.486572,1
81883.484375,24823.909766,2699.919439,2603.242920,1
81887.546875,24823.406250,2709.517578,2603.930908,1
81891.609375,24823.802739,2719.317188,2607.964697,1
81890.671875,24824.399219,2719.709229,2599.438232,1
81899.726562,24824.593750,2729.293945,2596.348389,1
